generation,time_elapsed,population,mean_fitness,best_fitness,best_sample
0,345.67818427085876,30,-24.180444444444444,-1.32,"([2.7991421681550515, -3.333825642714479, -3.7696892818431, 1.6673076928017496, 3.550185573159453, -2.9561644543746217, 6.278057985212425, 7.806711612580215, -19.697129125100652, -7.720914300604508, -1.048809815751197, -8.66113076278095, 4.74844349719165, 5.938512653775605, 2.396603873606759, -6.0661475107549325, 7.178548735664475, 3.4996955506439003, -18.459720986283365, -4.167018202402706, -0.5027960268444576], ['Wolfrider', 'Wolfrider', 'Arcane Explosion', 'Arcane Explosion', 'Gnomish Inventor', 'Gnomish Inventor', 'Angry Chicken', 'Angry Chicken', 'Fireball', 'Fireball', 'Hungry Crab', 'Hungry Crab', 'Silverback Patriarch', 'Silverback Patriarch', 'Wild Pyromancer', 'Wild Pyromancer', 'Ravenholdt Assassin', 'Ravenholdt Assassin', 'Faceless Manipulator', 'Faceless Manipulator', 'Frost Elemental', 'Frost Elemental', 'Murloc Tidehunter', 'Murloc Tidehunter', 'Worgen Infiltrator', 'Worgen Infiltrator', 'Dread Corsair', 'Dread Corsair', 'Flesheating Ghoul', 'Flesheating Ghoul'])"
1,366.91244077682495,43,-23.29953488372093,-1.32,"([2.7991421681550515, -3.333825642714479, -3.7696892818431, 1.6673076928017496, 3.550185573159453, -2.9561644543746217, 6.278057985212425, 7.806711612580215, -19.697129125100652, -7.720914300604508, -1.048809815751197, -8.66113076278095, 4.74844349719165, 5.938512653775605, 2.396603873606759, -6.0661475107549325, 7.178548735664475, 3.4996955506439003, -18.459720986283365, -4.167018202402706, -0.5027960268444576], ['Wolfrider', 'Wolfrider', 'Arcane Explosion', 'Arcane Explosion', 'Gnomish Inventor', 'Gnomish Inventor', 'Angry Chicken', 'Angry Chicken', 'Stampeding Kodo', 'Stampeding Kodo', 'Hungry Crab', 'Hungry Crab', 'Silverback Patriarch', 'Silverback Patriarch', 'Wild Pyromancer', 'Wild Pyromancer', 'Ancient Watcher', 'Ancient Watcher', 'Faceless Manipulator', 'Faceless Manipulator', 'Frost Elemental', 'Frost Elemental', 'Murloc Tidehunter', 'Murloc Tidehunter', 'Worgen Infiltrator', 'Worgen Infiltrator', 'Dread Corsair', 'Dread Corsair', 'Flesheating Ghoul', 'Flesheating Ghoul'])"
2,333.85422444343567,51,-23.454640522875817,-1.32,"([2.7991421681550515, -3.333825642714479, -3.7696892818431, 1.6673076928017496, 3.550185573159453, -2.9561644543746217, 6.278057985212425, 7.806711612580215, -19.697129125100652, -7.720914300604508, -1.048809815751197, -8.66113076278095, 4.74844349719165, 5.938512653775605, 2.396603873606759, -6.0661475107549325, 7.178548735664475, 3.4996955506439003, -18.459720986283365, -4.167018202402706, -0.5027960268444576], ['Wolfrider', 'Wolfrider', 'Arcane Explosion', 'Arcane Explosion', 'Gnomish Inventor', 'Gnomish Inventor', 'Angry Chicken', 'Angry Chicken', 'Stampeding Kodo', 'Stampeding Kodo', 'Hungry Crab', 'Hungry Crab', 'Silverback Patriarch', 'Silverback Patriarch', 'Wild Pyromancer', 'Wild Pyromancer', 'Ancient Watcher', 'Ancient Watcher', 'Faceless Manipulator', 'Faceless Manipulator', 'Frost Elemental', 'Frost Elemental', 'Murloc Tidehunter', 'Murloc Tidehunter', 'Worgen Infiltrator', 'Worgen Infiltrator', 'Dread Corsair', 'Dread Corsair', 'Flesheating Ghoul', 'Flesheating Ghoul'])"
3,337.2106158733368,65,-22.86851282051282,5.48,"([-9.70548838192227, 6.790337138460867, -3.04639708657093, -0.03338267375879027, -22.847892297272928, 1.0690985065626675, 9.034155743545112, 18.31659793505389, 9.167056052785862, 4.805475155879892, 1.0751119473760358, 8.613830860270857, -12.40284998243819, 13.07686611976169, -7.326993551431946, -8.432752520828341, -4.819018853423076, 8.842104735177283, 5.040064404035429, -2.0089309864247133, -2.274703094883655], ['Harvest Golem', 'Harvest Golem', 'Secretkeeper', 'Secretkeeper', 'Mirror Image', 'Mirror Image', 'Faerie Dragon', 'Faerie Dragon', 'Azure Drake', 'Azure Drake', 'Elven Archer', 'Elven Archer', 'Ironbeak Owl', 'Ironbeak Owl', 'Vaporize', 'Vaporize', 'Southsea Deckhand', 'Southsea Deckhand', 'Gadgetzan Auctioneer', 'Gadgetzan Auctioneer', 'Southsea Captain', 'Southsea Captain', 'Murloc Tidehunter', 'Murloc Tidehunter', 'Stranglethorn Tiger', 'Stranglethorn Tiger', 'Murloc Warleader', 'Murloc Warleader', 'Acidic Swamp Ooze', 'Acidic Swamp Ooze'])"
4,349.5370409488678,71,-22.457464788732395,5.48,"([-9.70548838192227, 6.790337138460867, -3.04639708657093, -0.03338267375879027, -22.847892297272928, 1.0690985065626675, 9.034155743545112, 18.31659793505389, 9.167056052785862, 4.805475155879892, 1.0751119473760358, 8.613830860270857, -12.40284998243819, 13.07686611976169, -7.326993551431946, -8.432752520828341, -4.819018853423076, 8.842104735177283, 5.040064404035429, -2.0089309864247133, -2.274703094883655], ['Harvest Golem', 'Harvest Golem', 'Secretkeeper', 'Secretkeeper', 'Mirror Image', 'Mirror Image', 'Faerie Dragon', 'Faerie Dragon', 'Azure Drake', 'Azure Drake', 'Elven Archer', 'Elven Archer', 'Ironbeak Owl', 'Ironbeak Owl', 'Vaporize', 'Vaporize', 'Southsea Deckhand', 'Southsea Deckhand', 'Gadgetzan Auctioneer', 'Gadgetzan Auctioneer', 'Southsea Captain', 'Southsea Captain', 'Murloc Tidehunter', 'Murloc Tidehunter', 'Stranglethorn Tiger', 'Stranglethorn Tiger', 'Murloc Warleader', 'Murloc Warleader', 'Acidic Swamp Ooze', 'Acidic Swamp Ooze'])"
5,337.9874529838562,80,-22.103,5.48,"([-9.70548838192227, 6.790337138460867, -3.04639708657093, -0.03338267375879027, -22.847892297272928, 1.0690985065626675, 9.034155743545112, 18.31659793505389, 9.167056052785862, 4.805475155879892, 1.0751119473760358, 8.613830860270857, -12.40284998243819, 13.07686611976169, -7.326993551431946, -8.432752520828341, -4.819018853423076, 8.842104735177283, 5.040064404035429, -2.0089309864247133, -2.274703094883655], ['Harvest Golem', 'Harvest Golem', 'Secretkeeper', 'Secretkeeper', 'Mirror Image', 'Mirror Image', 'Faerie Dragon', 'Faerie Dragon', 'Azure Drake', 'Azure Drake', 'Elven Archer', 'Elven Archer', 'Ironbeak Owl', 'Ironbeak Owl', 'Vaporize', 'Vaporize', 'Southsea Deckhand', 'Southsea Deckhand', 'Gadgetzan Auctioneer', 'Gadgetzan Auctioneer', 'Southsea Captain', 'Southsea Captain', 'Blizzard', 'Blizzard', 'Stranglethorn Tiger', 'Stranglethorn Tiger', 'Murloc Warleader', 'Murloc Warleader', 'Oasis Snapjaw', 'Oasis Snapjaw'])"
6,259.13868141174316,87,-22.019770114942528,5.48,"([-9.70548838192227, 6.790337138460867, -3.04639708657093, -0.03338267375879027, -22.847892297272928, 1.0690985065626675, 9.034155743545112, 18.31659793505389, 9.167056052785862, 4.805475155879892, 1.0751119473760358, 8.613830860270857, -12.40284998243819, 13.07686611976169, -7.326993551431946, -8.432752520828341, -4.819018853423076, 8.842104735177283, 5.040064404035429, -2.0089309864247133, -2.274703094883655], ['Harvest Golem', 'Harvest Golem', 'Secretkeeper', 'Secretkeeper', 'Mirror Image', 'Mirror Image', 'Faerie Dragon', 'Faerie Dragon', 'Azure Drake', 'Azure Drake', 'Elven Archer', 'Elven Archer', 'Ironbeak Owl', 'Ironbeak Owl', 'Vaporize', 'Vaporize', 'Southsea Deckhand', 'Southsea Deckhand', 'Gadgetzan Auctioneer', 'Gadgetzan Auctioneer', 'Southsea Captain', 'Southsea Captain', 'Blizzard', 'Blizzard', 'Stranglethorn Tiger', 'Stranglethorn Tiger', 'Murloc Warleader', 'Murloc Warleader', 'Oasis Snapjaw', 'Oasis Snapjaw'])"
7,351.14379024505615,99,-21.42195286195286,5.48,"([-9.70548838192227, 6.790337138460867, -3.04639708657093, -0.03338267375879027, -22.847892297272928, 1.0690985065626675, 9.034155743545112, 18.31659793505389, 9.167056052785862, 4.805475155879892, 1.0751119473760358, 8.613830860270857, -12.40284998243819, 13.07686611976169, -7.326993551431946, -8.432752520828341, -4.819018853423076, 8.842104735177283, 5.040064404035429, -2.0089309864247133, -2.274703094883655], ['Harvest Golem', 'Harvest Golem', 'Leper Gnome', 'Leper Gnome', 'Mirror Image', 'Mirror Image', 'Faerie Dragon', 'Faerie Dragon', 'Azure Drake', 'Azure Drake', 'Elven Archer', 'Elven Archer', 'Ironbeak Owl', 'Ironbeak Owl', 'Vaporize', 'Vaporize', 'Southsea Deckhand', 'Southsea Deckhand', 'Gadgetzan Auctioneer', 'Gadgetzan Auctioneer', 'Southsea Captain', 'Southsea Captain', 'Blizzard', 'Blizzard', 'Stranglethorn Tiger', 'Stranglethorn Tiger', 'Murloc Warleader', 'Murloc Warleader', 'Oasis Snapjaw', 'Oasis Snapjaw'])"
8,305.1192898750305,108,-21.651604938271603,5.48,"([-9.70548838192227, 6.790337138460867, -3.04639708657093, -0.03338267375879027, -22.847892297272928, 1.0690985065626675, 9.034155743545112, 18.31659793505389, 9.167056052785862, 4.805475155879892, 1.0751119473760358, 8.613830860270857, -12.40284998243819, 13.07686611976169, -7.326993551431946, -8.432752520828341, -4.819018853423076, 8.842104735177283, 5.040064404035429, -2.0089309864247133, -2.274703094883655], ['Harvest Golem', 'Harvest Golem', 'Leper Gnome', 'Leper Gnome', 'Mirror Image', 'Mirror Image', 'Faerie Dragon', 'Faerie Dragon', 'Azure Drake', 'Azure Drake', 'Elven Archer', 'Elven Archer', 'Ironbeak Owl', 'Ironbeak Owl', 'Vaporize', 'Vaporize', 'Southsea Deckhand', 'Southsea Deckhand', 'Gadgetzan Auctioneer', 'Gadgetzan Auctioneer', 'Southsea Captain', 'Southsea Captain', 'Blizzard', 'Blizzard', 'Stranglethorn Tiger', 'Stranglethorn Tiger', 'Murloc Warleader', 'Murloc Warleader', 'Oasis Snapjaw', 'Oasis Snapjaw'])"
9,363.94475960731506,115,-21.716057971014493,5.48,"([-9.70548838192227, 6.790337138460867, -3.04639708657093, -0.03338267375879027, -22.847892297272928, 1.0690985065626675, 9.034155743545112, 18.31659793505389, 9.167056052785862, 4.805475155879892, 1.0751119473760358, 8.613830860270857, -12.40284998243819, 13.07686611976169, -7.326993551431946, -8.432752520828341, -4.819018853423076, 8.842104735177283, 5.040064404035429, -2.0089309864247133, -2.274703094883655], ['Harvest Golem', 'Harvest Golem', 'Leper Gnome', 'Leper Gnome', 'Mirror Image', 'Mirror Image', 'Faerie Dragon', 'Faerie Dragon', 'Injured Blademaster', 'Injured Blademaster', 'Elven Archer', 'Elven Archer', 'Ironbeak Owl', 'Ironbeak Owl', 'Vaporize', 'Vaporize', 'Southsea Deckhand', 'Southsea Deckhand', 'Gadgetzan Auctioneer', 'Gadgetzan Auctioneer', 'Southsea Captain', 'Southsea Captain', 'Blizzard', 'Blizzard', 'Stranglethorn Tiger', 'Stranglethorn Tiger', 'Murloc Warleader', 'Murloc Warleader', 'Oasis Snapjaw', 'Oasis Snapjaw'])"
